neighbourhood_code,space_heating_demand_per_house,hot_water_demand_per_house,space_heating_demand_per_m2_utility,hot_water_demand_per_m2_utility,electricity_demand_per_house,electricity_demand_per_m2_utility,share_of_houses_demolished,number_of_new_apartments,number_of_new_terraced_houses,number_of_new_detached_houses,number_of_new_semi_detached_houses,number_of_new_houses_unknown_type,epi_of_new_houses,size_of_new_houses,existing_heat_network_share,trace_length
BU03072505,17,0,0.130769231,0,212,1.630769231,0,0,0,0,0,0,0.9,100,0,3255.812314
BU03072506,30,1,0.230769231,0.007692308,1158,8.907692308,0,0,0,0,0,0,0.9,100,0,622.0941182
BU03072507,26,0,0.2,0,662,5.092307692,0,0,0,0,0,0,0.9,100,0,3323.768089
BU03072508,36,1,0.276923077,0.007692308,961,7.392307692,0,0,0,0,0,0,0.9,100,0,1242.491055
BU03072600,35,7,0.269230769,0.053846154,112,0.861538462,0,0,0,0,0,0,0.9,100,0,5997.635244
BU03072601,27,7,0.207692308,0.053846154,111,0.853846154,0,0,0,0,0,0,0.9,100,0,7391.324064
BU03072602,26,8,0.2,0.061538462,10,0.076923077,0,0,0,0,0,0,0.9,100,0,3614.470966
BU03072603,47,7,0.361538462,0.053846154,419,3.223076923,0,0,0,0,0,0,0.9,100,0,2450.896429
BU03072700,57,9,0.438461538,0.069230769,110,0.846153846,0,0,0,0,0,0,0.9,100,0,3815.212009
BU03072701,53,8,0.407692308,0.061538462,218,1.676923077,0,0,0,0,0,0,0.9,100,0,12989.88061
BU03072709,50,5,0.384615385,0.038461538,430,3.307692308,0,0,0,0,0,0,0.9,100,0,1946.83615
BU03072800,28,8,0.215384615,0.061538462,10,0.076923077,0,0,0,0,0,0,0.9,100,0,8064.418554
BU03072801,32,8,0.246153846,0.061538462,110,0.846153846,0,0,0,0,0,0,0.9,100,0,4351.289658
BU03072802,27,7,0.207692308,0.053846154,111,0.853846154,0,0,0,0,0,0,0.9,100,0,7863.313564
BU03072803,30,8,0.230769231,0.061538462,11,0.084615385,0,0,0,0,0,0,0.9,100,0,5427.980184
BU03072804,27,7,0.207692308,0.053846154,113,0.869230769,0,0,0,0,0,0,0.9,100,0,4151.449493
BU03072805,20,1,0.153846154,0.007692308,630,4.846153846,0,0,0,0,0,0,0.9,100,0,2013.389156
BU03072806,19,1,0.146153846,0.007692308,214,1.646153846,0,0,0,0,0,0,0.9,100,0,1248.871169
BU03072900,28,8,0.215384615,0.061538462,10,0.076923077,0,0,0,0,0,0,0.9,100,86,3096.631589
BU03072901,22,3,0.169230769,0.023076923,327,2.515384615,0,0,0,0,0,0,0.9,100,0,2589.943831
BU03072902,28,8,0.215384615,0.061538462,10,0.076923077,0,0,0,0,0,0,0.9,100,84,1204.243588
BU03073000,22,8,0.169230769,0.061538462,10,0.076923077,0,0,0,0,0,0,0.9,100,0,2925.462977
