neighbourhood,type,E,H,geothermal,HT,MT,LT,backup,undecided,useful_heat,heat_reduction
BU03071903,utility,5147.3609958375,,,,,1954.6751485,1379.7706930588233,,1954.6751485,0.0
BU03072102,residences,10134.802076983156,,,,,,,,19338.247788686836,5874.1124004331605
BU03072102,utility,5107.1329097456955,,,,,,,,484.4884099994862,170.4867083005139
BU03072600,residences,5774.8949981099995,,,,,30113.568721800006,21256.636744800006,,30113.568721800006,0.0
BU03072600,utility,5774.89499905275,,,,,4883.245441912,3446.996782526118,,4883.245441912,0.0
BU03071803,residences,4569.696,,,,,32390.229734282344,22863.69157714048,,32390.229734282344,322.75604571765336
BU03071803,utility,4569.69599780625,,,,,1218.9498133680002,860.4351623774119,,1218.9498133680002,0.0
BU03072403,residences,9622.915350762201,,,,,,,,19463.213815358253,4077.2601177817446
BU03072403,utility,5383.930560371593,,,,,,,,3567.02084742785,825.8404641871499
BU03072105,residences,2803.841999874,,,,,12716.78672919,8976.555338251765,,12716.78672919,0.0
BU03072105,utility,2803.8419999160005,,,,,5568.545870733,3930.738261693882,,5568.545870733,0.0
BU03070404,residences,275.4800254329175,,,,,,,,522.9525953734404,239.48500334655955
BU03070404,utility,7738.353268091461,,,,,,,,28508.72731926548,20702.806037060527
BU03071500,residences,5604.5520002325,,,,,34273.18286195969,24192.834961383312,,34273.18286195969,190.6417857502991
BU03071500,utility,5604.55200349125,,,,,9144.172711735,6454.71014946,,9144.172711735,0.0
BU03070202,residences,1423.818,,,,,10192.9857813,7195.048786799999,,10192.9857813,0.0
BU03070202,utility,1423.8179889029998,,,,,18557.741231244,13099.582045583998,,18557.741231244,0.0
BU03070701,residences,5594.39999979075,,,,,32798.54028270001,23151.91078778824,,32798.54028270001,0.0
BU03070701,utility,5594.40000372,,,,,4689.88572085,3310.5075676588235,,4689.88572085,0.0
BU03071004,residences,3697.4339998987502,,,,,19446.421803420002,13726.885978884706,,19446.421803420002,0.0
BU03071004,utility,3697.4340092205002,,,,,3858.076132128,2723.347857972706,,3858.076132128,0.0
